Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
ICICI Bank Ltd,ICICIBANK.NS,2015-01-01 00:00:00+05:30,320.6363525390625,321.31817626953125,318.3636474609375,320.2727355957031,294.02386474609375,2583280,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-02 00:00:00+05:30,320.0,330.4545593261719,320.0,329.3636474609375,302.3696594238281,8272990,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-05 00:00:00+05:30,332.0909118652344,334.0,328.6363525390625,330.0454406738281,302.99566650390625,10316090,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-06 00:00:00+05:30,326.7272644042969,327.18182373046875,314.7272644042969,316.0454406738281,290.14300537109375,13282427,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-07 00:00:00+05:30,314.18182373046875,314.7727355957031,304.9545593261719,307.5,282.2979736328125,21254332,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-08 00:00:00+05:30,313.6363525390625,316.81817626953125,310.18182373046875,315.8636474609375,289.97613525390625,12558144,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-09 00:00:00+05:30,318.1363525390625,318.5454406738281,306.4545593261719,310.7727355957031,285.302490234375,15701030,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-12 00:00:00+05:30,311.5909118652344,316.0,307.9090881347656,315.0454406738281,289.2249755859375,8304115,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-13 00:00:00+05:30,317.2727355957031,317.2727355957031,308.8636474609375,309.9090881347656,284.50958251953125,13100848,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-14 00:00:00+05:30,308.4090881347656,310.7272644042969,302.7272644042969,306.2727355957031,281.1712951660156,13127934,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-15 00:00:00+05:30,320.1363525390625,323.6363525390625,315.9545593261719,320.7727355957031,294.4828796386719,16662989,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-16 00:00:00+05:30,320.7727355957031,322.3636474609375,315.8636474609375,321.68182373046875,295.31744384765625,14726646,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-19 00:00:00+05:30,323.18182373046875,328.9090881347656,321.3636474609375,328.0,301.1178283691406,10277015,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-20 00:00:00+05:30,327.0,335.68182373046875,327.0,334.31817626953125,306.91815185546875,11477610,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-21 00:00:00+05:30,333.18182373046875,337.2272644042969,331.9545593261719,334.9545593261719,307.50238037109375,12457852,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-22 00:00:00+05:30,335.3636474609375,338.4545593261719,331.4545593261719,336.18182373046875,308.62908935546875,9320935,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-23 00:00:00+05:30,340.81817626953125,341.3636474609375,335.18182373046875,337.0,309.3801574707031,13525550,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-27 00:00:00+05:30,340.4545593261719,349.81817626953125,338.81817626953125,348.6363525390625,320.0628356933594,13932787,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-28 00:00:00+05:30,348.1363525390625,357.6363525390625,346.9090881347656,349.1363525390625,320.5218811035156,14787690,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-29 00:00:00+05:30,345.5454406738281,348.9090881347656,341.4090881347656,345.7272644042969,317.3922119140625,22085259,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-01-30 00:00:00+05:30,346.7727355957031,347.2727355957031,322.4090881347656,327.9090881347656,301.0343322753906,31372235,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-02-02 00:00:00+05:30,327.5454406738281,327.9090881347656,318.18182373046875,319.8636474609375,293.64825439453125,37165959,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-02-03 00:00:00+05:30,320.0,324.3636474609375,313.7272644042969,315.0909118652344,289.2667541503906,25975650,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-02-04 00:00:00+05:30,314.5909118652344,315.68182373046875,309.31817626953125,313.31817626953125,287.6392822265625,15639435,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-02-05 00:00:00+05:30,309.9090881347656,313.9090881347656,302.5,305.0909118652344,280.0862731933594,18771838,0.0,0.0
ICICI Bank Ltd,ICICIBANK.NS,2015-02-06 00:00:00+05:30,305.4545593261719,309.0909118652344,297.9090881347656,299.4090881347656,274.8701477050781,17811770,0.0,0.0
